ip;city;region;country;isp;latitude;longitude;testDate;serverName;download;upload;latency;browser;operatingSystem;userAgent
190.232.9.25;0;;;;0,0000000;0,0000000;"02/12/2014 02:47:57";"Claro Speedtest.net";52634;6513;126;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"02/12/2014 02:59:18";"Claro Speedtest.net";45773;6799;125;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"02/12/2014 03:21:42";"Claro Speedtest.net";53484;6676;129;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"02/12/2014 03:33:18";"Claro Speedtest.net";52623;6513;129;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"02/12/2014 03:44:31";"Claro Speedtest.net";46756;6226;125;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"02/12/2014 03:55:42";"Claro Speedtest.net";44718;6810;130;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"02/12/2014 05:15:24";"Claro Speedtest.net";50063;6339;131;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"02/12/2014 05:37:58";"Claro Speedtest.net";49039;6031;130;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"02/12/2014 05:49:24";"Claro Speedtest.net";48589;6042;130;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"02/12/2014 06:00:35";"Claro Speedtest.net";46653;6799;125;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"02/12/2014 06:11:42";"Claro Speedtest.net";43039;5837;126;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"02/12/2014 06:23:16";"Claro Speedtest.net";46868;5949;130;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"02/12/2014 06:46:05";"Claro Speedtest.net";44667;6400;130;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"02/12/2014 06:57:39";"Claro Speedtest.net";51108;6461;130;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"02/12/2014 07:09:02";"Claro Speedtest.net";46182;6369;132;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"02/12/2014 07:20:14";"Claro Speedtest.net";45640;6646;126;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"02/12/2014 07:31:25";"Claro Speedtest.net";49459;6707;132;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"02/12/2014 07:42:42";"Claro Speedtest.net";43325;6687;146;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"02/12/2014 08:05:21";"Claro Speedtest.net";49684;6758;128;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"02/12/2014 08:16:34";"Claro Speedtest.net";50237;6799;130;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"02/12/2014 08:27:42";"Claro Speedtest.net";49050;6676;125;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"02/12/2014 08:39:15";"Claro Speedtest.net";47084;6339;131;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"02/12/2014 08:50:38";"Claro Speedtest.net";56852;6707;143;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"02/12/2014 09:13:42";"Claro Speedtest.net";48599;5939;126;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"02/12/2014 09:25:03";"Claro Speedtest.net";43244;6236;130;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"02/12/2014 09:36:22";"Claro Speedtest.net";50627;5980;126;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"02/12/2014 09:59:27";"Claro Speedtest.net";48947;6779;130;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"02/12/2014 10:11:07";"Claro Speedtest.net";51681;6492;126;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"02/12/2014 10:22:41";"Claro Speedtest.net";50575;6697;126;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"10/12/2014 11:36:16";"Claro Speedtest.net";44360;6564;130;"Internet Explorer 9.0";"Windows 7 Home";
